lemma,gender,declension,gs,gs_other
e)/mporos,masculine,2.0,e)mpo/rou,"e)/mporoi, e)mpo/rw|"
strh=nos,neuter,3.0,strh/nous,
a)di/khma,neuter,3.0,a)dikh/matos,"a)dikh/mata, a)di/khma"
pe/nqos,neuter,3.0,pe/nqous,pe/nqos
basi/lissa,feminine,1.0,basili/sshs,
xh/ra,feminine,1.0,xh/ras,
pu/rwsis,feminine,3.0,purw/sews,
go/mos,masculine,2.0,go/mou,go/mon
a)/rguros,masculine,2.0,a)rgu/rou,
porfu/ra,feminine,1.0,porfu/ras,
xalko/s,masculine,2.0,xalkou=,
si/dhros,masculine,2.0,sidh/rou,
ma/rmaros,masculine,2.0,marma/rou,
kinna/mwmon,neuter,2.0,kinnamw/mou,kinna/mwmon
a)/mwmon,neuter,2.0,a)mw/mou,a)/mwmon
mu/ron,neuter,2.0,mu/rou,
li/banos,masculine,2.0,liba/nou,li/banon
semi/dalis,feminine,3.0,semida/lews,
kth=nos,neuter,3.0,kth/nous,"kth/nh, kth=nos, kthnw=n"
pro/baton,neuter,2.0,proba/tou,
r(e/dh,feminine,1.0,r(e/dhs,r(edw=n
sw=ma,neuter,3.0,sw/matos,
o)pw/ra,feminine,1.0,,
e)piqumi/a,feminine,1.0,e)piqumi/as,
kubernh/ths,masculine,1.0,kubernh/tou,kubernh/th|
nau/ths,masculine,1.0,nau/tou,"nau=tai, nautw=n"
xou=s,masculine,3.0,xoo/s,
timio/ths,feminine,3.0,timio/thtos,
o(/rmhma,neuter,3.0,o(rmh/matos,o(rmh/mati
au)lhth/s,masculine,1.0,au)lhtou=,"au)lhtw=n, au)lhta/s"
salpisth/s,masculine,1.0,salpistou=,salpistw=n
texni/ths,masculine,1.0,texni/tou,
te/xnh,feminine,1.0,te/xnhs,
mu/los,masculine,2.0,mu/lou,
fw=s,neuter,3.0,fwto/s,
lu/xnos,masculine,2.0,lu/xnou,
numfi/os,masculine,2.0,numfi/ou,
nu/mfh,feminine,1.0,nu/mfhs,
farmakei/a,feminine,1.0,farmakei/as,
ga/mos,masculine,2.0,ga/mou,
dei=pnon,neuter,2.0,dei/pnou,
dikaiosu/nh,feminine,1.0,dikaiosu/nhs,
mhro/s,masculine,2.0,mhrou=,
li/mnh,feminine,1.0,li/mnhs,
a(/lusis,feminine,3.0,a(lu/sews,"a(/lusin, a(lu/sesi(n), a(lu/seis, a(lu/sei"
e)/tos,neuter,3.0,e)/tous,"e)/th, e)tw=n, e)/tos, e)/tei, e)/tesi(n)"
a)na/stasis,feminine,3.0,a)nasta/sews,
*gw/g,masculine,3.0,*gw/g,*gw/g
*magw/g,masculine,3.0,*magw/g,*magw/g
pla/tos,neuter,3.0,pla/tous,pla/tos
parembolh/,feminine,1.0,parembolh=s,
a)nh/r,masculine,3.0,a)ndro/s,
kraugh/,feminine,1.0,kraugh=s,
foneu/s,masculine,3.0,fone/ws,"foneu=si(n), fonei=s, fone/a"
po/rnos,masculine,2.0,po/rnou,"po/rnois, po/rnoi, po/rnous"
fa/rmakos,masculine,2.0,farma/kou,
ei)dwlola/trhs,masculine,1.0,ei)dwlola/trou,"ei)dwlola/trais, ei)dwlola/trai"
fwsth/r,masculine,3.0,fwsth/ros,fwsth=res
tei=xos,neuter,3.0,tei/xous,
pulw/n,masculine,3.0,pulw=nos,
borra=s,masculine,3.0,borra=,
no/tos,masculine,2.0,no/tou,
dusmh/,feminine,1.0,dusmh=s,dusmw=n
qeme/lios,masculine,2.0,qemeli/ou,
me/tron,neuter,2.0,me/trou,
mh=kos,neuter,3.0,,
u(/yos,neuter,3.0,u(/yous,
ph=xus,masculine,3.0,ph/xeos,"phxw=n, ph=xun"
e)ndw/mhsis,feminine,3.0,,
u(/alos,masculine,2.0,u(a/lou,u(a/lw|
sa/pfiros,feminine,2.0,,
xalkhdw/n,masculine,3.0,,
sma/ragdos,masculine,2.0,,
sardo/nuc,masculine,3.0,,
xruso/liqos,masculine,2.0,,
bh/rullos,masculine,2.0,,
topa/zion,neuter,2.0,,
xruso/prasos,masculine,2.0,,
u(a/kinqos,masculine,2.0,,
a)me/qustos,feminine,2.0,,
karpo/s,masculine,2.0,karpou=,
