Lemma,POS,genitive_singular
ἐλεγμός,noun,ἐλεγμοῦ
ἔλεγξις,noun,ἐλέγξεως
ἐλεημοσύνη,noun,ἐλεημοσύνης
Ἑλλάς,noun,Ἑλλάδος
Ἑλληνιστής,noun,Ἑλληνιστοῦ
ἐμαυτοῦ,noun,ἐμαυτοῦ
ἐμπαιγμονή,noun,ἐμπαιγμονῆς
ἐμπαιγμός,noun,ἐμπαιγμοῦ
ἐμπαίκτης,noun,ἐμπαίκτου
ἐμπορία,noun,ἐμπορίας
ἔνδειξις,noun,ἐνδείξεως
ἐνέδρα,noun,ἐνέδρας
ἐνέργημα,noun,ἐνεργήματος
ἑνότης,noun,ἑνότητος
ἔνταλμα,noun,ἐντάλματος
ἐντροπή,noun,ἐντροπῆς
ἐνύπνιον,noun,ἐνυπνίου
ἐξανάστασις,noun,ἐξαναστάσεως
ἐξέραμα,noun,ἐξεράματος
ἐξορκιστής,noun,ἐξορκιστοῦ
ἐξοχή,noun,ἐξοχῆς
ἐπάγγελμα,noun,ἐπαγγέλματος
Ἐπαίνετος,noun,Ἐπαινέτου
ἔπαινος,noun,ἐπαίνου
ἐπανόρθωσις,noun,ἐπανορθώσεως
ἐπενδύτης,noun,ἐπενδύτητος
ἐπίβλημα,noun,ἐπιβλήματος
ἐπιγραφή,noun,ἐπιγραφῆς
ἐπιθυμητής,noun,ἐπιθυμητοῦ
ἐπικάλυμμα,noun,ἐπικαλύμματος
Ἐπικούρειος,noun,Ἐπικουρείου
ἐπιπόθησις,noun,ἐπιποθήσεως
ἐπιποθία,noun,ἐπιποθίας
ἐπισιτισμός,noun,ἐπισιτισμοῦ
ἐπίσκοπος,noun,ἐπισκόπου
ἐπίστασις,noun,ἐπιστάσεως
ἐπιστάτης,noun,ἐπιστάτου
ἐπιστροφή,noun,ἐπιστροφῆς
ἐπόπτης,noun,ἐπόπτου
ἔπος,noun,ἔπους
Ἔραστος,noun,Ἐράστου
ἐργάτης,noun,ἐργάτου
ἐρίφιον,noun,ἐριφίου
ἔριφος,noun,ἐρίφου
Ἑρμᾶς,noun,Ἑρμᾶ
ἑρμηνεία,noun,ἑρμηνείας
Ἑρμῆς,noun,Ἑρμοῦ
ἑρπετόν,noun,ἑρπετοῦ
ἐσθής,noun,ἐσθήτος
ἑτοιμασία,noun,ἑτοιμασίας
Εὕα,noun,Εὕας
εὐεργέτης,noun,εὐεργέτου
εὐκαιρία,noun,εὐκαιρίας
Εὐνίκη,noun,Εὐνίκης
Εὐοδία,noun,Εὐοδίας
εὐσχημοσύνη,noun,εὐσχημοσύνης
Εὐφράτης,noun,Εὐφράτου
εὐχή,noun,εὐχῆς
ἐφευρετής,noun,ἐφευρετοῦ
ἔχιδνα,noun,ἐχίδνας
Ζακχαῖος,noun,Ζακχαίου
ζευκτηρία,noun,ζευκτηρίας
ζηλωτής,noun,ζηλωτοῦ
Ζηνᾶς,noun,Ζηνᾶ
ζιζάνιον,noun,ζιζανίου
ζυγός,noun,ζυγοῦ
ζώνη,noun,ζώνης
ἡδονή,noun,ἡδονῆς
ἡδύοσμον,noun,ἡδυόσμου
ἦθος,noun,ἦθους
ἧλος,noun,ἧλους
ἡμιώριον,noun,ἡμιωρίου
