Lemma,POS,future_active,aorist_active,perfect_active,perfect_middle,future_passive
στεφανόω,verb,,ἐστεφάνωσα,,ἐστεφάνωμαι,
στηρίζω,verb,στηρίξω,ἐστήρισα,,ἐστήριγμαι,στηριχθήσομαι
στοιχέω,verb,στοιχήσω,,,,
στρατολογέω,verb,,ἐστρατολόγησα,,,
στρέφω,verb,,ἔστρεψα,,,στραφήσομαι
στρηνιάω,verb,,ἐστρηνίασα,,,
στρώννυμι,verb,,ἔστρωσα,,ἔστρωμαι,
στυγνάζω,verb,,ἐστύγνασα,,,
συγκαθίζω,verb,,συνεκάθισα,,,
συγκακοπαθέω,verb,,συνεκακοπάθησα,,,
συγκαλέω,verb,,συνεκάλεσα,,,
συγκαλύπτω,verb,,,,συγκεκάλυμμαι,
συγκάμπτω,verb,,συνέκαμψα,,,
συγκαταβαίνω,verb,,συγκατέβην,,,
συγκατατίθημι,verb,,,,συγκατατέθειμαι,
συγκαταψηφίζομαι,verb,,,,,συγκαταψηφισθήσομαι
συγκεράννυμι,verb,,συνεκέρασα,,συγκεκέρασμαι,
συγκινέω,verb,,συνεκίνησα,,,
συγκλείω,verb,,συνέκλεισα,,,
συγκοινωνέω,verb,,συνεκοινώνησα,,,
συγκομίζω,verb,,συνεκόμισα,,,
συγκρίνω,verb,,συνέκρινα,,,
συγχαίρω,verb,,,,,συγχαρήσομαι
συγχέω,verb,,,,συγκέχυμαι,συγχυθήσομαι
συζάω,verb,συζήσω,,,,
συζεύγνυμι,verb,,συνέζευξα,,,
συζωοποιέω,verb,,συνεζωοποίησα,,,
συλλαλέω,verb,,συνελάλησα,,,
συλλαμβάνω,verb,συλλήμψομαι,συνέλαβον,συνείληφα,,συλλημφθήσομαι
συλλέγω,verb,συλλέξω,συνέλεξα,,,
συλλογίζομαι,verb,,συνελογισάμην,,,
συμβαίνω,verb,,συνέβην,συμβέβηκα,,
συμβάλλω,verb,,συνέβαλον,,,
συμβασιλεύω,verb,συμβασιλεύσω,συνεβασίλευσα,,,
συμβιβάζω,verb,συμβιβάσω,συνεβίβασα,,,συμβιβασθήσομαι
συμβουλεύω,verb,,συνεβούλευσα,,,
συμπαθέω,verb,,συνεπάθησα,,,
συμπαραγίνομαι,verb,,συμπαρεγενόμην,,,
συμπαρακαλέω,verb,,,,,συμπαρακληθήσομαι
συμπαραλαμβάνω,verb,,συμπαρέλαβον,,,
συμπέμπω,verb,,συνέπεμψα,,,
συμπεριλαμβάνω,verb,,συμπεριέλαβον,,,
συμπίνω,verb,,συνέπιον,,,
συμπίπτω,verb,,συνέπεσα,,,
συμπνίγω,verb,,συνέπνιξα,,,
συμφέρω,verb,,συνήνεγκα,,,
συμφύω,verb,,,,,συμφυήσομαι
συμφωνέω,verb,συμφωνήσω,συνεφώνησα,,,συμφωνηθήσομαι
συμψηφίζω,verb,,συνεψήφισα,,,
συνάγω,verb,,συνήγαγον,,σύνηγμαι,συναχθήσομαι
συναγωνίζομαι,verb,,συνηγωνισάμην,,,
συναθλέω,verb,,συνήθλησα,,,
συναθροίζω,verb,,συνήθροισα,,συνήθροισμαι,
συναίρω,verb,,συνῆρα,,,
συνακολουθέω,verb,,συνηκολούθησα,,,
συναναβαίνω,verb,,συνανέβην,,,
συναναπαύομαι,verb,,συνανεπαυσάμην,,,
συναντάω,verb,συναντήσω,συνήντησα,,,
συναντιλαμβάνομαι,verb,,συναντελαβόμην,,,
συναπάγω,verb,,,,,συναπαχθήσομαι
συναποθνῄσκω,verb,,συναπέθανον,,,
συναπόλλυμι,verb,,συναπώλεσα,,,
συναρπάζω,verb,,συνήρπασα,συνήρπακα,,συναρπασθήσομαι
συνδέομαι,verb,,,,συνδέδεμαι,
συνδοξάζω,verb,,,,,συνδοξασθήσομαι
συνεγείρω,verb,,συνήγειρα,,,συνεγερθήσομαι
συνεισέρχομαι,verb,,συνεισῆλθον,,,
συνεπιτίθημι,verb,,συνεπέθηκα,,,
συνέρχομαι,verb,,συνῆλθον,συνελήλυθα,,
συνεσθίω,verb,,συνέφαγον,,,
συνεφίστημι,verb,,συνεπέστην,,,
συνέχω,verb,συνέξω,συνέσχον,,,
συνθάπτω,verb,,,,,συνταφήσομαι
συνθλάω,verb,,,,,συνθλασθήσομαι
συνίημι,verb,συνήσω,συνῆκα,,,
συνίστημι,verb,,συνέστησα,συνέστηκα,,
συνοράω,verb,,συνεῖδον,,,
συντάσσω,verb,,συνέταξα,,,
συντελέω,verb,,συνετέλεσα,,,συντελεσθήσομαι
συντίθημι,verb,,συνέθηκα,,συνετέθειμαι,
συντρέχω,verb,,συνέδραμον,,,
συντρίβω,verb,συντρίψω,συνέτριψα,,συντέτριμμαι,συντριβήσομαι
συντυγχάνω,verb,,συνέτυχον,,,
συνυποκρίνομαι,verb,,,,,συνυποκριθήσομαι
συσπαράσσω,verb,,συνεσπάραξα,,,
συσταυρόομαι,verb,,,,συνεσταύρωμαι,συσταυρωθήσομαι
συστέλλω,verb,,συνέστειλα,,συνέσταλμαι,
συστρέφω,verb,,συνέστρεψα,,,
σφάζω,verb,σφάξω,ἔσφαξα,,ἔσφαγμαι,σφαγήσομαι
σφραγίζω,verb,,ἐσφράγισα,,ἐσφράγισμαι,σφραγισθήσομαι
σχίζω,verb,σχίσω,ἔσχισα,,,σχισθήσομαι
σχολάζω,verb,,ἐσχόλασα,,,
σωρεύω,verb,σωρεύσω,,,,
σωφρονέω,verb,,ἐσωφρόνησα,,,
σῴζω,verb,,,σέσωκα,σέσωσμαι,
σωρεύω,verb,,,,σεσώρευμαι,
ταλαιπωρέω,verb,,ἐταλαιπώρησα,,,
ταπεινόω,verb,ταπεινώσω,ἐταπείνωσα,,,ταπεινωθήσομαι
ταράσσω,verb,,ἐτάραξα,,τετάραγμαι,ταραχθήσομαι
ταρταρόω,verb,,ἐταρτάρωσα,,,
τάσσω,verb,,ἔταξα,,τέταγμαι,
τεκνοτροφέω,verb,,ἐτεκνοτρόφησα,,,
τελειόω,verb,,ἐτελείωσα,τετελείωκα,τετελείωμαι,τελειωθήσομαι
τελευτάω,verb,,ἐτελεύτησα,τετελεύτηκα,,
τελέω,verb,,ἐτέλεσα,,τετέλεσμαι,τελεσθήσομαι
τεφρόω,verb,,ἐτέφρωσα,,,
τηρέω,verb,,,,τετήρημαι,τηρηθήσομαι
τίθημι,verb,,,,τέθειμαι,τεθήσομαι
