parsing_atom_head,parsing_atom_dependent,position
maqhth/s_N----NSM,a)/llos_A----NSM,before
makarismo/s_N----NSM,u(mw=n_E----GP-,after
*maria/m_N----ASF,e)kopi/ase(n)_V3AAI-S-,after
ma/xairai_N----NPF,du/o_A----NPF,after
ma/xairai_N----NPF,w(=de_B-------,after
ma/xai_N----NPF,e)n_P-------,after
megaleio/thti_N----DSF,qeou=_N----GSM,after
me/lh_N----NPN,nu=n_B-------,before
me/lh_N----NPN,polla/_A----NPN,before
me/lh_N----APN,po/rnhs_N----GSF,before
me/lh_N----NPN,*xristou=_N----GSM,after
me/lh_N----APN,*xristou=_N----GSM,after
me/los_N----NSN,e(/n_A----NSN,before
meta/qesis_N----NSF,no/mou_N----GSM,before
me/tron_N----ASN,pate/rwn_N----GPM,after
me/trw|_N----DSN,metrei=te_V2PAI-P-,after
mh/thr_N----NSF,au)tou=_E----GSM,after
mhtri/_N----DSF,au)th=s_E----GSF,after
mimhtai/_N----NPM,mou_E----GS-,after
misqo/n_N----ASM,ti/na_I----ASM,before
misqo/s_N----NSM,mou_E----GS-,before
naou=_N----GSM,sw/matos_N----GSN,after
naw=|_N----DSM,qeou=_N----GSM,after
neo/thtos_N----GSF,mou_E----GS-,after
nh=son_N----ASF,tina/_I----ASF,after
ni=kos_N----NSN,sou_E----GS-,before
noh/mata_N----NPN,au)tw=n_E----GPM,after
no/misma_N----ASN,kh/nsou_N----GSM,after
no/mos_N----NSM,ti/_I----ASN,before
no/mou_N----GSM,kai/_B-------,before
no/mou_N----GSM,pi/stews_N----GSF,after
no/mou_N----GSM,poi/ou_A----GSM,before
no/mw|_N----DSM,*mwu+se/ws_N----GSM,before
nou=n_N----ASM,kuri/ou_N----GSM,after
nou=n_N----ASM,*xristou=_N----GSM,after
nou=s_N----NSM,e)/xwn_V-PAPNSM,after
nu/ktas_N----APF,tessera/konta_A----APF,after
ce/nos_A----NSM,kai/_C-------,after
o(dhgoi/_N----VPM,diu+li/zontes_V-PAPNPM,after
o(dhgoi/_N----VPM,katapi/nontes_V-PAPVPM,after
o(dhgoi/_N----VPM,tufloi/_A----VPM,after
o(do/n_N----ASF,kata/_P-------,before
o(do/n_N----ASF,u(pa/gw_V1PAI-S-,before
o)do/nta_N----ASM,a)nti/_P-------,after
oi)ke/thn_N----ASM,a)llo/trion_A----ASM,before
oi)kiakou/s_N----APM,au)tou=_E----GSM,after
oi)kiakou/s_N----APM,ma=llon_B-------,before
oi)ki/an_N----ASF,au)tou=_E----GSM,after
oi)ki/an_N----ASF,*si/mwnos_N----GSM,after
oi)kodoma/s_N----APF,mega/las_A----APF,before
oi)kodoma/s_N----APF,tau/tas_M----APF,before
oi)=kon_N----ASM,au)tou=_E----GSM,after
oi)=kon_N----ASM,*)onhsifo/rou_N----GSM,before
oi)=kos_N----NSM,u(mw=n_E----GP-,after
oi)=non_N----ASM,e)smurnisme/non_V-RPPASM,before
oi)=non_N----ASM,ne/on_A----ASM,after
o(mili/ai_N----NPF,kakai/_A----NPF,after
o)/noma_N----NSN,a)ste/ros_N----GSM,after
o)/noma_N----NSN,au)tou=_E----GSM,after
o)/noma_N----NSN,dou/lw|_N----DSM,after
o)/noma_N----ASN,e)piklhqe/n_V-APPASN,after
o)/noma_N----ASN,kalo/n_A----ASN,before
o)/noma_N----ASN,kuri/ou_N----GSM,after
o)/noma_N----NSN,soi_E----DS-,any
o)/noma_N----ASN,sou_E----GS-,before
o)no/mati_N----DSN,au)tou=_E----GSM,after
o)no/mati_N----DSN,*)ihsou=_N----GSM,after
o(/ria_N----APN,*tu/rou_N----GSF,after
o(ri/wn_N----GPN,au)tw=n_E----GPM,after
o)/ros_N----ASN,e)laiw=n_N----GPF,after
o)fqalmoi/_N----NPM,au)tw=n_E----GPM,before
o)fqalmoi/_N----NPM,h(mw=n_E----GP-,after
o)fqalmoi/_N----NPM,sou_E----GS-,before
o)fqalmo/n_N----ASM,a)nti/_P-------,after
o)fqalmo/s_N----NSM,sou_E----GS-,after
o)fqalmou/s_N----APM,sou_E----GS-,before
o)fqalmw=n_N----GPM,au)tw=n_E----GPM,after
o)/xloi_N----NPM,polloi/_A----NPM,after
o)/xlos_N----NSM,i(kano/s_A----NSM,after
o)/xlos_N----NSM,polu/s_A----NSM,any
o)ywni/ois_N----DPN,i)di/ois_A----DPN,before
parabolh/n_N----ASF,a)/llhn_A----ASF,before
parabolh/n_N----ASF,kai/_B-------,before
parabolh/n_N----ASF,spei/rantos_V-AAPGSM,after
parabolh/n_N----ASF,tau/thn_M----ASF,before
paraggeli/as_N----APF,ti/nas_I----APF,before
para/klhsin_N----ASF,u(mw=n_E----GP-,after
paraskeuh/_N----NSF,pa/sxa_N----GSN,after
parousi/as_N----GSF,kuri/ou_N----GSM,after
pa/sxa_N----NSN,e(orth/_N----NSF,after
pate/ra_N----ASM,e(autou=_E----GSM,after
pate/ra_N----ASM,kai/_B-------,before
pate/ra_N----ASM,mou_E----GS-,after
pate/res_N----NPM,u(mw=n_E----GP-,after
pate/rwn_N----GPM,u(mw=n_E----GP-,after
path/r_N----NSM,au)tou=_E----GSM,after
path/r_N----NSM,h(mw=n_E----GP-,after
path/r_N----NSM,sou_E----GS-,after
patro/s_N----GSM,u(mw=n_E----GP-,after
pepoi/qhsin_N----ASF,toiau/thn_M----ASF,after
perisseu/mata_N----APN,klasma/twn_N----GPN,after
perisseu/matos_N----GSN,kardi/as_N----GSF,after
perixw/rou_A----GSF,o(/lhs_A----GSF,before
*persi/da_N----ASF,a)gaphth/n_A----ASF,after
*persi/da_N----ASF,e)kopi/ase(n)_V3AAI-S-,after
pi/stis_N----NSF,a(gi/wn_A----GPM,after
pi/stis_N----NSF,sou_E----GS-,after
pi/stis_N----NSF,u(mw=n_E----GP-,after
plhsi/on_B-------,sou_E----GS-,after
pneu=ma_N----ASN,a(/gion_A----ASN,after
pneu=ma_N----ASN,a)ka/qarton_A----ASN,after
pneu=ma_N----NSN,e(/n_A----NSN,before
pneu/mati_N----DSN,au)tw=|_A----DSN,before
pneu/mati_N----DSN,qeou=_N----GSM,after
pneu/matos_N----GSN,sou_E----GS-,after
pneu/matos_N----GSN,u(mw=n_E----GP-,after
poihtai/_N----NPM,lo/gou_N----GSM,after
po/lei_N----DSF,tau/th|_M----DSF,before
