parsing_atom_head,parsing_atom_dependent,position
filei=_V3PAI-S-,ou)_B-------,immediately_before
fobei=sqai_V-PMN---,mh/_B-------,immediately_before
fobei=sqe_V2PMM-P-,mh/_B-------,before
fobou=_V2PMM-S-,mh/_B-------,immediately_before
fronou=ntes_V-PAPNPM,mh/_B-------,before
fwnh/sh|_V3AAS-S-,mh/_B-------,before
fwnh/sh|_V3AAS-S-,ou)_B-------,before
e)xrhsa/mhn_V1AMI-S-,mh/ti_L-------,before
ke/xrhmai_V1RMI-S-,ou)_B-------,immediately_before
xrh/_V3PAI-S-,ou)_B-------,immediately_before
xrh/|zomen_V1PAI-P-,mh/_B-------,immediately_before
xwrize/tw_V3PAM-S-,mh/_B-------,immediately_before
xwrou=si(n)_V3PAI-P-,ou)_B-------,before
e)yeu/sw_V2AMI-S-,ou)_B-------,immediately_before
yeu/domai_V1PMI-S-,ou)_B-------,immediately_before
