parsing_atom_head,parsing_atom_dependent,position
e)/lege(n)_V3IAI-S-,ble/pete_V2PAM-P-,after
e)/lege(n)_V3IAI-S-,o(/ti_C-------,after
e)/lege(n)_V3IAI-S-,parabolh/n_N----ASF,after
e)/lege(n)_V3IAI-S-,suni/ete_V2PAI-P-,after
e)/legon_V3IAI-P-,a)mh/n_J-------,after
e)/legon_V3IAI-P-,au)tw=|_E----DSM,after
e)/legon_V3IAI-P-,ei)=_V2PAI-S-,after
e)/legon_V3IAI-P-,e)/xei_V3PAI-S-,after
e)rou=men_V1FAI-P-,ti/_I----ASN,before
le/gei_V3PAI-S-,a)/rate_V2AAM-P-,after
le/gei_V3PAI-S-,au)th=|_E----DSF,after
le/gei_V3PAI-S-,au)toi=s_E----DPM,after
le/gei_V3PAI-S-,au)tw=|_E----DSM,after
le/gei_V3PAI-S-,bo/ske_V2PAM-S-,after
le/gei_V3PAI-S-,ginw/skeis_V2PAI-S-,after
le/gei_V3PAI-S-,deu=te_V2-AM---,after
le/gei_V3PAI-S-,ei)mi/_V1PAI-S-,after
le/gei_V3PAI-S-,ei)=pas_V2AAI-S-,after
le/gei_V3PAI-S-,i)dou/_L-------,after
le/gei_V3PAI-S-,kai/_C-------,after
le/gei_V3PAI-S-,klai/eis_V2PAI-S-,after
le/gei_V3PAI-S-,*maria/m_N----VSF,after
le/gei_V3PAI-S-,nai/_L-------,after
le/gei_V3PAI-S-,oi)=da_V1RAI-S-,after
le/gei_V3PAI-S-,poi/as_A----APF,after
le/gei_V3PAI-S-,poi/maine_V2PAM-S-,after
le/gei_V3PAI-S-,ti/_I----ASN,before
le/gontes_V-PAPNPM,staurwqh/tw_V3APM-S-,after
le/gontes_V-PAPNPM,fa/gwmen_V1AAS-P-,after
le/gousi(n)_V3PAI-P-,au)tw=|_E----DSM,after
le/gousi(n)_V3PAI-P-,*daui/d_N----GSM,after
le/gousi(n)_V3PAI-P-,duna/meqa_V1PMI-P-,after
