lemma,gender,distant_determiner
parabolh/,feminine,n
i)atro/s,masculine,n
*kafarnaou/m,feminine,n
patri/s,feminine,n
a)lh/qeia,feminine,n
*sa/repta,neuter,n
*)elisai=os,masculine,n
*naima/n,masculine,n
*su/ros,masculine,n
o)fru=s,feminine,n
qa/mbos,neuter,n
h)=xos,masculine,n
oi)ki/a,feminine,y
*si/mwn,masculine,n
penqera/,feminine,n
pureto/s,masculine,n
no/sos,feminine,n
*gennhsare/t,feminine,n
a(lieu/s,masculine,n
di/ktuon,neuter,n
ba/qos,neuter,n
a)/gra,feminine,n
e)pista/ths,masculine,n
i)xqu/s,masculine,n
*pe/tros,masculine,y
go/nu,neuter,n
*)ia/kwbos,masculine,n
*zebedai=os,masculine,n
koinwno/s,masculine,n
le/pra,feminine,n
a)sqe/neia,feminine,n
*farisai=os,masculine,y
nomodida/skalos,masculine,n
kw/mh,feminine,n
dw=ma,neuter,n
ke/ramos,masculine,n
klini/dion,neuter,n
grammateu/s,masculine,n
e)/kstasis,feminine,n
telw/nion,neuter,n
doxh/,feminine,n
*leui/s,masculine,n
maqhth/s,masculine,y
numfw/n,masculine,n
e)pi/blhma,neuter,n
a)sko/s,masculine,n
sta/xus,masculine,n
pro/qesis,feminine,n
a)/noia,feminine,n
*)andre/as,masculine,n
*barqolomai=os,masculine,n
*maqqai=os,masculine,n
*qwma=s,masculine,n
*(alfai=os,masculine,n
*zhlwth/s,masculine,n
*)iskariw/q,masculine,n
prodo/ths,masculine,n
*tu/ros,feminine,n
*sidw/n,feminine,n
siagw/n,feminine,n
ko/lpos,masculine,n
bo/qunos,masculine,n
ka/rfos,neuter,n
doko/s,feminine,n
u(pokrith/s,masculine,n
a)/kanqa,feminine,n
su=kon,neuter,n
ba/tos,feminine,n
qhsauro/s,masculine,n
peri/sseuma,neuter,n
plh/mmura,feminine,n
r(h=gma,neuter,n
a)koh/,feminine,y
e(katonta/rxhs,masculine,n
ste/gh,feminine,n
stratiw/ths,masculine,y
*nai/+n,feminine,n
pu/lh,feminine,n
soro/s,feminine,n
neani/skos,masculine,n
baptisth/s,masculine,n
ma/stic,feminine,n
i(matismo/s,masculine,n
trufh/,feminine,n
boulh/,feminine,n
a)gora/,feminine,n
fa/gos,masculine,n
oi)nopo/ths,masculine,n
a)la/bastron,neuter,n
xreofeile/ths,masculine,n
danisth/s,masculine,n
fi/lhma,neuter,n
*magdalhnh/,feminine,n
*)iwa/nna,feminine,n
*xouza=s,masculine,n
e)pi/tropos,masculine,n
*sousa/nna,feminine,n
spo/ros,masculine,n
i)kma/s,feminine,n
me/rimna,feminine,n
h(donh/,feminine,n
bi/os,masculine,n
lai=lay,feminine,n
klu/dwn,masculine,n
galh/nh,feminine,n
pe/dh,feminine,n
desmo/n,neuter,n
legiw/n,feminine,n
a)ge/lh,feminine,n
xoi=ros,masculine,n
krhmno/s,masculine,n
a)gro/s,masculine,n
