lemma_id,lemma_text,lemma_short_def
529,a)eci/fullos,"nourishing leaves, leafy"
530,a)eci/futos,nourishing plants
531,a)e/cw,"to increase, enlarge, foster, strengthen"
532,a)ergi/a,"a not working, idleness"
534,a)e/rdhn,lifting up
535,a)e/rios,in the mist
536,a)erobate/w,to walk the air
537,a)eroba/ths,one who walks the air
538,a)erodinh/s,wheeling in air
540,a)erodrome/w,to traverse the air
544,a)erometre/w,to measure the air: to lose oneself in vague speculation
545,a)eronhxh/s,floating in air
546,a)ero/foitos,roaming in air
549,a)erta/zw,to lift up
550,a)/esa,to sleep
551,a)esifrosu/nh,"silliness, folly"
552,a)esi/frwn,"damaged in mind, witless, silly"
553,a)eto/s,an eagle
556,a)zale/os,"dry, parched"
557,a)za/nw,"to dry, parch up"
558,a)/za,drought
559,a)zhli/a,freedom from jealousy
560,a)/zhlos,"not subject to envy, unenviable, dreary"
561,a)zhlo/tupos,"free from jealousy, envy"
562,a)zh/lwtos,not to be envied
564,a)zhxh/s,"unceasing, excessive"
565,a(/zomai,"to stand in awe of, dread"
566,a)/zugos,unwedded
567,a)/zumos,unleavened
568,a)/zuc,"unyoked, unpaired, unmarried"
569,a)/zw,"to dry up, parch"
570,a)/zwstos,ungirt
571,a)hdh/s,"unpleasant to the taste, distasteful"
572,a)hdi/a,"unpleasantness, nauseousness"
573,a)hdonideu/s,a young nightingale
574,a)hdo/nios,of a nightingale
575,a)hdoni/s,a nightingale
576,a)hdw/n,the songstress
577,a)hdw/,
578,a)h/qeia,unaccustomedness
579,a)hqe/ssw,to be unaccustomed to
580,a)h/qhs,"unwonted, unusual"
581,a)hqi/a,
582,a)/hma,"a blast, gale"
583,a)/hmi,"to breathe hard, blow"
584,a)h/r,"the lower air, the air"
585,a)/hsis,a blowing
586,a)h/sshtos,unconquered
587,a)h/sulos,wicked
588,a)h/suros,"light as air, small, little"
589,a)h/th,
590,a)h/ths,"a blast, gale"
591,a)/htos,"stormy, furious"
593,a)qalh/s,"not verdant, withered"
594,a)qalph/s,without warmth
595,a)qambh/s,fearless
596,a)qanasi/a,immortality
