book,chapter,verse,position,head,word,new_relation
Col,2,13,12,ἀκροβυστίᾳ,σαρκὸς,location
Luke,16,24,17,ἄκρον,δακτύλου,part-whole
Heb,11,21,15,ἄκρον,ῥάβδου,part-whole
Mark,13,27,16,ἄκρου,γῆς,part-whole
Mark,13,27,19,ἄκρου,οὐρανοῦ,part-whole
Matt,24,31,24,ἄκρων,αὐτῶν,part-whole
Matt,24,31,20,ἄκρων,οὐρανῶν,part-whole
Luke,7,37,21,ἀλάβαστρον,μύρου,contents
Mark,14,3,18,ἀλάβαστρον,μύρου,contents
Matt,26,7,6,ἀλάβαστρον,μύρου,contents
1John,2,16,20,ἀλαζονεία,βίου,about
Jas,4,16,7,ἀλαζονείαις,ὑμῶν,subject
Matt,5,13,6,ἅλας,γῆς,other
Gal,2,5,12,ἀλήθεια,εὐαγγελίου,other
Rom,3,7,6,ἀλήθεια,θεοῦ,characterized by
2Cor,11,10,3,ἀλήθεια,Χριστοῦ,other
Gal,2,14,11,ἀλήθειαν,εὐαγγελίου,other
Rom,1,25,6,ἀλήθειαν,θεοῦ,other
Col,1,5,18,ἀληθείας,εὐαγγελίου,other
Rom,15,8,9,ἀληθείας,θεοῦ,other
Mark,1,17,14,ἁλιεῖς,ἀνθρώπων,object
Matt,4,19,11,ἁλιεῖς,ἀνθρώπων,object
Acts,15,20,9,ἀλισγημάτων,εἰδώλων,subject
Acts,12,7,26,ἁλύσεις,αὐτοῦ,possession
2Tim,1,16,15,ἅλυσίν,μου,possession
Luke,3,17,11,ἅλωνα,αὐτοῦ,possession
Matt,3,12,12,ἅλωνα,αὐτοῦ,possession
2Pet,1,9,15,ἁμαρτημάτων,αὐτοῦ,subject
John,9,41,19,ἁμαρτία,ὑμῶν,subject
John,8,21,14,ἁμαρτίᾳ,ὑμῶν,subject
1Tim,5,24,2,ἁμαρτίαι,ἀνθρώπων,subject
Luke,7,47,8,ἁμαρτίαι,αὐτῆς,subject
Rev,18,5,3,ἁμαρτίαι,αὐτῆς,subject
Luke,5,20,12,ἁμαρτίαι,σου,subject
Luke,5,23,9,ἁμαρτίαι,σου,subject
Luke,7,48,5,ἁμαρτίαι,σου,subject
Mark,2,5,13,ἁμαρτίαι,σου,subject
Mark,2,9,8,ἁμαρτίαι,σου,subject
Matt,9,2,22,ἁμαρτίαι,σου,subject
Matt,9,5,7,ἁμαρτίαι,σου,subject
Rom,4,7,7,ἁμαρτίαι,ὧν,subject
Rev,18,4,20,ἁμαρτίαις,αὐτῆς,subject
1Cor,15,17,15,ἁμαρτίαις,ὑμῶν,subject
John,8,24,9,ἁμαρτίαις,ὑμῶν,subject
John,8,24,21,ἁμαρτίαις,ὑμῶν,subject
John,1,29,21,ἁμαρτίαν,κόσμου,other
Rom,4,8,3,ἁμαρτίαν,οὗ,subject
1Thess,2,16,11,ἁμαρτίας,αὐτῶν,subject
John,15,22,18,ἁμαρτίας,αὐτῶν,subject
Mark,1,5,24,ἁμαρτίας,αὐτῶν,subject
Matt,3,6,12,ἁμαρτίας,αὐτῶν,subject
Rom,11,27,12,ἁμαρτίας,αὐτῶν,subject
1John,1,9,5,ἁμαρτίας,ἡμῶν,subject
1Pet,2,24,4,ἁμαρτίας,ἡμῶν,subject
Luke,11,4,6,ἁμαρτίας,ἡμῶν,subject
Heb,2,17,24,ἁμαρτίας,λαοῦ,subject
Heb,9,28,9,ἁμαρτίας,πολλῶν,subject
Acts,22,16,11,ἁμαρτίας,σου,subject
John,20,23,2,ἁμαρτίας,τινων,subject
